time,seed,eigh
52,23,4.590505587184048
56,23,3.16645735422543
60,23,3.6415758488264394
64,23,3.125943600475686
68,23,2.516007658235465
72,23,1.8662284490592245
76,23,3.2971380742793053
80,23,6.83927338796448
84,23,3.2205088567839684
88,23,8.423625053386946
92,23,2.610614796375685
96,23,2.193956638972136
100,23,2.3049811343657614
104,23,1.75220502809618
108,23,1.5799395092055188
112,23,2.43176810914426
116,23,4.087705153001739
120,23,2.7772821333187756
124,23,2.3423706602034664
128,23,4.2221451805399814
132,23,2.131189217559388
136,23,3.535291143357455
140,23,3.56214459097782
144,23,2.070552946252966
148,23,6.474506506112475
152,23,6.52834906220415
156,23,7.671308442495406
160,23,7.317639911718564
164,23,5.181585416978781
168,23,3.2136022130606237
172,23,20.599835376723416
176,23,4.5472879335555705
180,23,9.340014572590347
184,23,3.8231427871626376
188,23,3.6437170117552937
192,23,3.531342147863008
196,23,2.7200409095840237
200,23,1.6372417442758522
204,23,3.8342730054549734
208,23,4.289348044285328
212,23,2.916665979978171
216,23,2.4809872367543253
220,23,2.8444763103176443
224,23,2.6064022394891966
228,23,2.7395984363712578
232,23,3.5610857900842148
236,23,4.729706529354721
240,23,4.053918955622501
244,23,2.0833241872527544
248,23,2.848960263014265
252,23,3.44996038860605
256,23,2.9227259397464787
260,23,5.874682830011998
264,23,2.895342442652767
268,23,4.767639376465428
272,23,2.0993135168290045
276,23,5.521729756063993
280,23,5.897888684223173
284,23,4.172843810360832
288,23,7.087250322380653
292,23,3.8631383741704837
296,23,6.649672577991663
300,23,3.0156082486488
304,23,4.099535131719666
308,23,3.24610872332883
312,23,3.314653081797008
316,23,2.966407678369523
320,23,7.102772734636075
324,23,2.1262350820461493
328,23,4.285539035972453
332,23,2.7570831659968036
336,23,3.0239949578450833
340,23,5.185365472139957
344,23,2.4792054549495828
348,23,5.3177196601981365
352,23,2.7024619298607724
356,23,2.989177699899282
360,23,4.952783757768693
364,23,1.9825729732578032
368,23,3.000722893276297
372,23,2.6849741383453893
376,23,3.9193574126769173
380,23,4.240886674191617
384,23,2.043413318401472
388,23,5.194941873991302
392,23,2.501423453840909
396,23,2.4767627570819197
0,29,2.316306259287506
4,29,2.8628087699480447
8,29,4.340324879571085
12,29,3.911190876375326
16,29,3.5304381283427286
20,29,3.4697889602240344
24,29,1.8372980136427077
28,29,3.877289014132456
32,29,2.8495088955451178
36,29,2.292706450670556
40,29,3.581538480794859
44,29,3.6074226480250986
48,29,3.320464234725811
52,29,4.756275847055734
56,29,4.583250595528535
60,29,2.749188244032736
64,29,3.260437428350125
68,29,2.1941363316904066
72,29,2.2021430966235918
76,29,4.265408283629077
80,29,3.538235890575971
84,29,3.257216153212934
88,29,6.579952965209375
92,29,2.039297691624929
96,29,1.8526247255787975
100,29,2.1636563956037844
104,29,2.2981063873281755
108,29,1.8798869471202975
112,29,2.5320163090687235
116,29,3.413171670897419
120,29,1.9828678619682776
124,29,2.629902050190793
128,29,3.5487282924523513
132,29,2.898125813279663
136,29,2.8173346368316836
140,29,4.136769508981923
144,29,2.7050211807829676
148,29,4.378916215517218
152,29,4.43362783587295
156,29,6.443991354988204
160,29,6.35538221044516
164,29,4.204083981738012
168,29,2.7506200141529593
172,29,7.704726366903794
176,29,5.616885224915308
180,29,8.644667095514096
184,29,2.591793161539807
188,29,3.603508115025228
192,29,5.516108945202389
196,29,2.010054892282517
200,29,2.2474332659071687
204,29,2.188458602732639
208,29,6.797475585553966
212,29,2.4156921275244376
216,29,2.414204084722767
220,29,3.4085553444172567
224,29,3.3834654372981876
228,29,3.6715778287483896
232,29,3.6260795824904615
236,29,6.827034472562345
240,29,3.0117244746568477
244,29,3.1235596497745637
248,29,1.9301113765458144
252,29,3.260290591188556
256,29,4.784098850247161
260,29,4.624820828010806
264,29,2.264052669568471
268,29,5.400963018836724
272,29,3.5746321181243195
276,29,4.83793273911933
280,29,7.610056604266897
284,29,9.650659433607677
288,29,3.752416085820331
292,29,4.235282030762015
296,29,7.664451112826804
300,29,3.5597904547428305
304,29,2.7090239040077955
308,29,3.611042803458233
312,29,3.034636924319465
316,29,2.46387397571239
320,29,15.007432796543972
324,29,2.0354148360880404
328,29,5.209487544948688
332,29,2.472594329920839
336,29,3.1517677752972726
340,29,4.088006568515268
344,29,2.6604267064943277
348,29,4.636615142443401
352,29,3.013640043074959
356,29,2.4106110038859
360,29,3.9984942690137633
364,29,2.103615877086503
368,29,4.818272976290663
